Soma de casosNovos;Rótulos de Coluna;;;;;;
Rótulos de Linha;Brasil;Centro-Oeste;Nordeste;Norte;Sudeste;Sul;Total Geral
25/02/2020;0;0;0;0;0;0;0
26/02/2020;1;0;0;0;1;0;2
27/02/2020;0;0;0;0;0;0;0
28/02/2020;0;0;0;0;0;0;0
29/02/2020;1;0;0;0;1;0;2
01/03/2020;0;0;0;0;0;0;0
02/03/2020;0;0;0;0;0;0;0
03/03/2020;0;0;0;0;0;0;0
04/03/2020;1;0;0;0;1;0;2
05/03/2020;4;0;0;0;4;0;8
06/03/2020;6;0;1;0;5;0;12
07/03/2020;6;1;1;0;4;0;12
08/03/2020;6;0;1;0;5;0;12
09/03/2020;0;0;0;0;0;0;0
10/03/2020;9;0;0;0;8;1;18
11/03/2020;18;1;0;0;16;1;36
12/03/2020;25;0;2;0;15;8;50
13/03/2020;21;3;1;0;15;2;42
14/03/2020;23;4;0;0;15;4;46
15/03/2020;79;2;1;1;73;2;158
16/03/2020;34;7;0;0;26;1;68
17/03/2020;57;14;23;0;16;4;114
18/03/2020;137;9;5;0;104;19;274
19/03/2020;193;20;55;7;82;29;386
20/03/2020;283;51;44;7;162;19;566
21/03/2020;224;26;34;11;89;64;448
22/03/2020;418;23;63;23;284;25;836
23/03/2020;345;18;77;10;209;31;690
24/03/2020;310;38;46;23;143;60;620
25/03/2020;232;4;36;23;126;43;464
26/03/2020;482;54;67;21;261;79;964
27/03/2020;502;43;82;19;287;71;1004
28/03/2020;486;42;716;223;455;51;1973
29/03/2020;353;39;198;86;143;54;873
30/03/2020;323;36;137;54;191;25;766
31/03/2020;1138;35;175;80;913;79;2420
01/04/2020;1117;34;248;87;849;93;2428
02/04/2020;1076;28;348;79;802;68;2401
03/04/2020;1146;62;476;100;696;145;2625
04/04/2020;1222;81;467;200;664;161;2795
05/04/2020;852;33;458;248;427;74;2092
06/04/2020;926;26;583;280;386;105;2306
07/04/2020;1661;49;633;321;1119;110;3893
08/04/2020;2210;59;773;549;1389;123;5103
09/04/2020;1930;61;762;268;1170;177;4368
10/04/2020;1781;52;635;290;1082;244;4084
11/04/2020;1089;54;707;316;486;76;2728
12/04/2020;1442;58;710;470;713;111;3504
13/04/2020;1261;51;1002;260;577;38;3189
14/04/2020;1832;70;941;776;809;120;4548
15/04/2020;3058;70;1366;332;2134;86;7046
16/04/2020;2105;63;1158;590;1024;93;5033
17/04/2020;3257;65;1911;562;1892;106;7793
18/04/2020;2917;86;2106;516;1444;136;7205
19/04/2020;2055;90;1649;550;874;78;5296
20/04/2020;1927;65;1517;836;578;105;5028
21/04/2020;2498;29;1536;644;1331;70;6108
22/04/2020;2678;86;2368;952;973;86;7143
23/04/2020;3735;81;2862;1214;1533;114;9539
24/04/2020;3503;105;2687;1260;1396;159;9110
25/04/2020;5514;55;3200;1638;3049;95;13551
26/04/2020;3379;140;2492;1274;1206;112;8603
27/04/2020;4613;134;3468;910;1974;194;11293
28/04/2020;5385;118;2574;1380;3086;282;12825
